home_team,away_team,P_home_win,P_draw,P_away_win
Southampton,Aston Villa,0.2813,0.2391,0.4796
Southampton,Brentford,0.3431,0.2432,0.4136
Southampton,Brighton,0.2587,0.2607,0.4806
Southampton,Burnley,0.3844,0.2726,0.3431
Southampton,Chelsea,0.1352,0.186,0.6787
Southampton,Crystal Palace,0.2497,0.2438,0.5065
Southampton,Everton,0.4247,0.2394,0.3358
Southampton,Leeds,0.4616,0.2313,0.3072
Southampton,Leicester,0.2786,0.2232,0.4982
Southampton,Liverpool,0.0681,0.1299,0.8019
Southampton,Man City,0.0467,0.1112,0.8419
Southampton,Man United,0.2862,0.231,0.4828
Southampton,Newcastle,0.3544,0.253,0.3927
Southampton,Norwich,0.5919,0.2205,0.1877
Southampton,Tottenham,0.1497,0.1989,0.6514
Southampton,Watford,0.5106,0.2259,0.2635
Southampton,West Ham,0.2404,0.2238,0.5358
Southampton,Wolves,0.2845,0.2767,0.4388
Tottenham,Arsenal,0.4917,0.2486,0.2597
Tottenham,Aston Villa,0.58,0.2256,0.1944
Tottenham,Brentford,0.6465,0.2054,0.1482
Tottenham,Brighton,0.5789,0.2469,0.1742
Tottenham,Burnley,0.7178,0.2003,0.0819
Tottenham,Chelsea,0.3748,0.2437,0.3815
Tottenham,Crystal Palace,0.5528,0.2407,0.2065
Tottenham,Everton,0.7236,0.1754,0.101
Tottenham,Leeds,0.7511,0.1604,0.0885
Tottenham,Leicester,0.5604,0.217,0.2226
Tottenham,Liverpool,0.2436,0.2165,0.5399
Tottenham,Man City,0.2004,0.2067,0.5929
Tottenham,Man United,0.5764,0.2191,0.2044
Tottenham,Newcastle,0.6679,0.2054,0.1268
Tottenham,Norwich,0.8677,0.1094,0.0229
Tottenham,Southampton,0.7051,0.1804,0.1144
Tottenham,Watford,0.7936,0.142,0.0644
Tottenham,West Ham,0.5226,0.2312,0.2462
Tottenham,Wolves,0.6209,0.244,0.1351
Watford,Arsenal,0.1328,0.1969,0.6703
Watford,Aston Villa,0.1973,0.2177,0.585
Watford,Brentford,0.2516,0.23,0.5184
Watford,Brighton,0.1716,0.2339,0.5945
Watford,Burnley,0.2797,0.2646,0.4557
Watford,Chelsea,0.0811,0.1503,0.7685
Watford,Crystal Palace,0.1679,0.2173,0.6148
Watford,Everton,0.3266,0.237,0.4364
Watford,Leeds,0.363,0.2333,0.4037
